title,abstract,keywords,date,creators,url
KLASIFIKASI MOTIF KAIN BATIK MENGGUNAKAN ALGORITMA NAIVE BAYES CLASSIFIER (NBC) DAN DETEKSI TEPI SOBEL,"Batik requires classification to help in classifying and distinguishing motifs in Indonesia. One of the good techniques in classifying is Naive Bayes Classifier (NBC). Bayesian Classifier has the possibility of high accuracy and speed if applied to large databases. In this study a classification software was developed using the NBC algorithm which classifies Batik motifs into 4 classes, namely Semen, Lunglungan, Ceplok, and Parang. In this case, several methods are included in the classification efforts, including: Sobel algorithm and United Moment Invariants (UMI). The results showed that the software was able to classify motifs with an accuracy rate of 52.50% from the test results using 120 Batik images.","Batik Classification, Naive Bayes Algorithm, Sobel Algorithm, UMI Algorithm",2018-10-25,"['PUTRI, NADIA TASZA', 'Primartha, Rifkie']",http://repository.unsri.ac.id/10036/
PENGENALAN KARAKTER TULISAN TANGAN MENGGUNAKAN AFFINE MOMENT INVARIANT DAN SELF ORGANIZING MAPS,"Handwriting characters recognition is an area of recognition process that has become an interesting research subject. The problem in handwriting character recognition is the characteristic of each character that is similar so that it is often incorrectly recognized by the computer. To overcome these problems developed handwriting character recognition software that can recognize characters well. In this research, software that can perform handwriting recognition developed using Affine Moment Invariant (AMI) method and Self Organizing Maps (SOM). The input of this software is a handwritten character image. The image will go through a pre-processing process using binarization. The features of the binary image be captured using AMI which yield 4 values and trained using SOM to get the best weights used during the character recognition. The result of handwriting character recognition using SOM is of the 1240 character images tested obtained an accuracy of 86.75%.","Affine Moment Invariant, Character Recognition, Handwriting Character, Self Organizing Maps.",2018-07-31,"['RAFANDHA, BIMO', 'Samsuryadi, Samsuryadi']",http://repository.unsri.ac.id/9067/
ALGORITMA SPELLCHECKING TERNARY SEARCH TREE DAN LEVENSHTEIN DISTANCE DALAM PENGOREKSIAN KATA BERBAHASA INGGRIS,"Kesalahan dalam ejaan atau penulisan kata dalam sebuah perangkat lunak pengolahan teks adalah hal yang seringkali terjadi, biasanya disebabkan oleh kelalaian pengguna.Maka dari itu diperlukan sebuah perangkat lunak yang dapat membantu untuk mengoreksi ejaan kata,di dalam penelitian ini menggabungkan dua metode algoritma, perangkat lunak akan melakukan pencocokan kata inputan dengan kata terdekat di dalam kamus kata menggunakan metode algoritma Ternary Search Tree,kemudian melakukan proses pencarian string dan menghitung Edit distance yang terdekat menggunakan algoritma Levenshtein Distance. Pengujian dilakukan dengan 5 konfigurasi pengujian. Dengan 5 nilai edit distance yang berbeda. Hasil pengujian akurasi tertinggi sebesar 98% pada konfigurasi pengujian ke 5, dan waktu pemrosesan tercepat dicatatkan oleh konfigurasi percobaan ke 1 dengan rata-rata waktu pemrosesan 2 milidetik.Dari hasil pengujian dapat terlihat, Semakin besar edit distance value yang digunakan, akan berdampak pada meningkatnya nilai akurasi, namun membutuhkan waktu pemrosesan yang lebih lama pula, dan begitu juga sebaliknya, semakin kecil nilai edit distance yang digunakan, akan meningkatkan kecepatan pemrosesan, namun berdampak pada berkurangnya tingkat akurasi.","Spellchecking, Ternary search tree, Spelling correction, Levenshtein distance",2018-12-17,"['RIZKY, VALLERY MEDISTA', 'Primartha, Rifkie', 'Miraswan, Kanda Januar']",http://repository.unsri.ac.id/9892/
PERBANDINGAN REDUKSI DIMENSI SINGULAR VALUE DECOMPOSITION DAN PRINCIPAL COMPONENT ANALYSIS PADA KLASIFIKASI DATA TRAFIK INTERNET,"High-dimensional data is a data that has many attributes, one of them is internet traffic data.
This research used internet traffic data with 248 attributes. If the internet traffic data is
going to be classified, a dimensional reduction technique is needed, because conventional
classification algorithms work better in handling low dimensional data. Dimension
reduction techniques are classified into 2 types, feature selection and feature extraction.
This study will compare the implementation of the Singular Value Decomposition (SVD)
algorithm as a feature selection and Principal Component Analysis (PCA) technique as an
feature extraction technique for C4.5 classification algorithm. The results obtained by
ANOVA shows insignificant differences on the value of accuracy, precision, and recall.
However, in terms of computation time, the combination of PCA and C4.5 is proven to be
slower than the other two methods.","Data Berdimensi Tinggi, Data Trafik Internet, Reduksi Dimensi, Singular
Value Decomposition, Principal Component Analysis, klasifikasi C4.5",2018-12-13,"['SALSABILA, SHOFI', 'Primartha, Rifkie', 'Jambak, Muhammad Ihsan']",http://repository.unsri.ac.id/8658/
PERBANDINGAN COSINE SIMILARITY DAN K-NEAREST NEIGHBOUR PADA CASE BASED REASONING DALAM MENDETEKSI MASALAH SCALE PADA PRODUKSI MINYAK BUMI,"Case Based Reasoning is an expert system method that can be used for detection by measuring the level of similarity between new cases and existing cases. In this study, researchers are interested in conducting a comparative analysis of the results of scale detection on petroleum production using Cosine Similarity and K-Nearest Neighbor. On the results of the detection of the expert system using Cosine Similarity, the accuracy value is 87%. Different results were obtained from the expert system using K-Nearest Neighbor with different k values, 100% accuracy value at k = 3, 87% at k = 5 and k = 7, 80% at k = 11, k = 15 and k = 17, and 67% at k = 23.","Cosine Similarity, Case Based Reasoning, K-Nearest Neighbour, Scale, Petroleum",2018-09-14,"['SARI, SEFTY ARITA', 'Primartha, Rifkie', 'Yunita, Yunita']",http://repository.unsri.ac.id/8754/
PENGARUH PERHITUNGAN RENTANG DATA TERHADAP PERFORMANSI ALGORITMA CLUSTERING SELF ORGANIZING MAP,"Clustering is a valuable research field in data mining. Clustering groups data based on its proximity or similarity. An important component in clustering is the distance measurement between data points. The difference in distance measurement method of data will affect how close the distance between the data. Therefore, this research will examine the effect of distance measurement of data on the performance of clustering algorithm. This study uses Self Organizing Map algorithm. There are three distance measurement method are Euclidean distance, Manhattan distance, and Chebyshev distance. This research uses 4 data set are Iris, Wine, Car Evaluation, and Abalone. The cluster will be evaluated using Davies Bouldin Index. Self Organizing Map and Chebyshev distance produce better cluster than Euclidean distance and Manhattan distance. However, the computation time is longer than Euclidean distance and Manhattan distance.","Clustering, Euclidean distance, Manhattan distance, Chebyshev distance, Self Organizing Map, Davies Bouldin Index",2018-12-12,"['SARI, TRI KURNIA', 'Rini, Dian Palupi', 'Yusliani, Novi']",http://repository.unsri.ac.id/9955/
"PENGENALAN CITRA NOT BALOK BERBASIS SELF
ORGANIZING MAPS","Musical note is a symbol or a sign to indicate the high-low sound that
showed in the image. Musical note has a shape and a position that is almost the
same so that there is often a problem in reading the notes. In this study, a software
developed that can recognize the notes using Self Organizing Maps method. The
input of this software is the image of the musical notes and its output is
information about the notes example the name of the note and the sound of notes.
The image entered will pass through several stages of image processing example
image conversion to grayscale, edge detection, binarization and segmentation.
Then the feature of input image will be captured using Zernike Moment Invariant
which will then be trained using Self Organizing Maps. The results of the study
that the software is able to recognize the image of the musical note with an
accuracy of 80.55% of 180 images of a single note and 85% of the image more
than one note.","Not balok, Pengenalan Not Balok, Self Organizing Maps.",2018-07-19,"['SEPTIARA, DWITYA KARINA', 'Primartha, Rifkie']",http://repository.unsri.ac.id/7248/
PREDIKSI JUMLAH PENUMPANG KERETA API MENGGUNAKAN METODE BACKPROPAGATION LEVENBERG MARQUARDT,"The prediction of the number of train passengers is needed to estimate the needs of the train fleet to transport passengers and avoid passengers who are not transported. Predictions on the number of train passengers using the backpropagation method and the backpropagation levenberg marquardt method. The result of the research for 24 data using the backpropagation and the backpropagation levenberg marquardt method each accuracy reach 87,28% and 90,63%. However, the execution time of the backpropagation levenberg marquardt method is 54% faster than the backpropagation method.","Prediksi penumpang, metode propagasi balik, metode propagasi balik
levenberg maruardt",2018-10-12,"['SETIAWAN, ARI HEKA', 'Samsuryadi, Samsuryadi', 'Miraswan, Kanda Januar']",http://repository.unsri.ac.id/8087/
PENGGUNAAN ARTIFICIAL BEE COLONY UNTUK OPTIMASI BIAYA PEMENUHAN GIZI,"Everyone needs adequate nutrition to perfonn activities and survive, expensive food will affect the fulfi llment of nutrition, optimization of nutrition fulfillment costs that is to minimize the amount of costs to be incurred by forming a combination of foodstuffs by selecting food from many n objects (ingredients) which has the best nutritional content and has the cheapest price, optimization of nutritional fulfillment cost equivalent to knapsack problem. The data of foodstuffs consumed amounted to 125 data of food stuff complete with price. The completion of this nutrient fulfillment optimization uses the artificial bee colony algorithm, to complete the optimization of the nutrient fulfillment cost of this algorithm using two control parameters namely the Number of Iterations or Maximum Cycle Number (MCN) and the Size of the Bee Population or Solution Number (SN). In the experiments the parameters given are the number of Iterations= 200, 400, 600, 800, 1000 and 1200, the value of the parameters of Bee Population Size = 25, 50, 75, 100, and 125. The results show that the greater the value of the given parameters the resulting fitness value the better. The best parameter combination value is obtained on Iteration value as much as 600 and Size of Bees Population as much as 125 with fitness value equal to 00.007408552","Artificial bee colorry, knapsack problem, optimasi biaya pemenuhan gizi system pendukung keputusan",2018-01-13,"['SHOLEHIN, SHOLEHIN', 'Efendi, Rusdi', 'Yunita, Yunita']",http://repository.unsri.ac.id/9817/
SISTEM PAKAR UNTUK MENDIAGNOSA GANGGUAN KEJIWAAN MENGGUNAKAN METODE FUZZY SIMILARITY,"Psychological disorders can paralyze a person's ability and decrease their
productivity, In micro level to the individuals and their families and at the macro
level for production systems and welfare. Lack of knowledge about mental health
and the misperception of society when someone goes to psychologist to check
mental health makes people reluctant to check their mental health. Therefore, In
this study fuzzy similarity is used to measure the similarity of old cases of
Psychological disorder to the new case. The data used in this study is the result of
52 questionnaires. Test results in this study obtained an accuracy of 72% by
showing 8 of 11 test cases in accordance with the results of expert examination.","Gangguan Kejiwaan, Sistem Pakar, Fuzzy Similarity, Case-Based
Reasoning",2018-07-27,"['SINURAT, FRAN’S SUTOPO', 'Efendi, Rusdi', 'Al Farissi, Al Farissi']",http://repository.unsri.ac.id/8234/
PERBANDINGAN HASIL SEGMENTASI KATA TULISAN TANGAN ARAB MENGGUNAKAN EKSTRAKSI FITUR ZONING DAN WUMI,"Word segmentation is one of stages on the handwriting Arabic character recognition process. Characteristics of writing Arabic words and characters are have many variations and similarities between characters, thus the accuracy of segmentation system results is not yet qualified. In this study, comparison of handwritten Arabic words using zoning and WUMI features extraction was compared. The segmentation process applies the method of over segmentation and segmentation validation. The results of handwritten Arabic word segmentation comparation using the zoning and WUMI features extraction, is that the AZZC (Adaptive Zoning Zone Characteristics-based) feature has the highest word segmentation accuracy which is 54.16%.","Segmentasi kata Arab, Over segmentation, Fitur zoning, Fitur moment, Random Forests, Weighted United Moment Invariant (WUMI), Adaptive Zoning, Static Zoning, Pixel Density, Line Segments, Zone Characteristics",2018-12-15,"['SURIYANTO, ACHMAD DWI', 'Samsuryadi, Samsuryadi']",http://repository.unsri.ac.id/8906/
PERBANDINGAN ANTARA NAIVE BAYES DAN SINGLELAYER PERCEPTRON UNTUK PENDETEKSIAN SPAM EMAIL,"Spam issues in e-mails need to be addressed so as not to interfere with e-mail user convenience. The most common method for detection of anti-spam works by separating or grouping the contents of the email and then studying a number of spam emails that have been detected. The spam email detection method used by the Naïve Bayes Classifier (NB) and Single-Layer Perceptron Classifier (SLP) respectively have resulted in accuracy performance of 88,75% and 81,25. The NB method is 7,50% higher than the SLP method for spam detection.","Naïve Bayes Classifier, Spam Email, Single-Layer Classifier.",2018-07-31,"['TAMIMY, MUHAMMAD ZAKI', 'Samsuryadi, Samsuryadi', 'Saputra, Danny Matthew']",http://repository.unsri.ac.id/9527/
PENERAPAN METODE WINTER UNTUK PERAMALAN STOK BARANG PENUNJANG MEDIS PADA RUMAH SAKIT MAHYUZAHRA,"Technology has an inseparable role for human life both as a work support tool for daily needs and as a support for the implementation of good business processes. Included in planning something, technology is very important in helping to achieve a goal. In Mahyuzahra Hospital especially, the medical support department is an important roel that supports the creation of good service. Hospitals must be able to self-regulate the supply of medical support items independently. Forecasting Information System using the Winter method is a system that supports data integration to maintain the availability of medical support items. Many benefits are given from the Winter method, such as laboratory assistants can provide inventory, maintain stock availability and avoid stock vacancies. With the application of the Winter method, every incoming recipe will always be served, then the loyalty of the Mahyuzahra Hospital will be realized in satisfying patients.","Information System, Forecasting Information System, Winter Method, inventory, medical support",2018-07-31,"['TANJUNG, IRHAM FUADI', 'Wedhasmara, Ari', 'Rifai, Ahmad']",http://repository.unsri.ac.id/9008/
KOMBINASI METODE CLUSTERING FUZZY C-MEANS DAN WEIGHTED PRODUCT UNTUK SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN RUMAH,"House is one of the important needs for humans, with the increasing number of house alternatives offered, a house selection decision support system is needed. The system built in this study will solve the problem of house selection based on the level of user preference criteria. There are two stages of the process that occur in the system that is built, namely the process of grouping data using Fuzzy CMeans and ranking process using the Weighted Product method. Based on the calculation of index XB it was found that the optimum number of clusters used in this study were 7 clusters and for system accuracy of 90%.","Decision Support System, Fuzzy C-Means, Weighted Product, Clustering, MADM, House.",2018-09-21,"['TRIANDANI, AKHMAD RIZKI', 'Efendi, Rusdi', 'Yunita, Yunita']",http://repository.unsri.ac.id/8941/
KOMBINASI METODE SIMPLE MULTI ATTRIBUTE RATING TECHNIQUES DAN TOPSIS UNTUK PEMILIHAN ONLINE SHOP TERPERCAYA,"Banyaknya online shop yang ada di platform instagram menjadikan calon konsumen sulit untuk menetapkan keputusan dalam melakukan pemilihan online shop yang terpercaya, salah satu cara yang tepat untuk memudahkan calon konsumen dalam melakukan pemilihan online shop adalah dengan sistem pendukung keputusan. Metode yang diterapkan adalah metode Simple Multi Attribute Rating Techniques (SMART) dan TOPSIS. SMART digunakan untuk pembobotan kriteria karena kesederhanaannya dalam proses perhitungan sehingga mudah dipahami pengambil keputusan, sedangkan metode Techniques for Others Reference by Similarity to Ideal Solution (TOPSIS) digunakan untuk mendapatkan peringkat alternatif karena alternatif yang baik dihasilkan tidak hanya memiliki jarak terpendek dari solusi ideal positif saja melainkan juga memiliki jarak terpanjang dari solusi ideal negatif. Kombinasi terhadap metode SMART dan TOPSIS untuk pemilihan online shop berhasil diimplementasikan dengan persentase keberhasilan sebesar 70,5%.","Simple Multi Attribute Rating Techniques (SMART), Techniques for Others Reference by Similarity to Ideal Solution (TOPSIS), Kombinasi, Online Shop, dan Sistem Pendukung Keputusan",2018-08-24,"['VARISKA, YESICA VIANIA', 'Efendi, Rusdi', 'Miraswan, Kanda Januar']",http://repository.unsri.ac.id/8724/
PERAMALAN PENJUALAN PRODUK PAKAIAN DENGAN KOMBINASI METODE FUZZY TIME SERIES DAN ALGORITMA PARTICLE SWARM OPTIMIZATION,"One of the sales forecasting is to prevent over production and under production which causes the company to lose the opportunity to sell its production and can help the company to conduct sales strategies in the future. In this study, forecasting is done using the Fuzzy Time Series method because it can project future data based on data in a timely manner. To improve forecasting accuracy, optimization using the Particle Swarm Optimization (PSO) algorithm is used to change the interval pattern of linguistic values in the Fuzzy Sets process. The advantages of the PSO algorithm have high decentralization with a simple implementation so that it can solve optimization problems efficiently. Error rates are calculated using MSE and AFER. Based on testing predicting clothing products with Fuzzy Time Series using PSO Optimization obtained a decrease in the results of the average error rate (error) of MSE = 7451450.145 and AFER = 0.234% for Kaos data types, MSE = 2115209.254 and AFER = 0.090% for Shirt data types MSE = 1398279.2 and AFER = 0.087% for Jacket data types with 24 test data. K","forecasting, Sales, Clothing Products, Fuzzy Time Series, Particle Swarm Optimization",2018-11-10,"['VHALDINO, THEO', 'Primartha, Rifkie', 'Miraswan, Kanda Januar']",http://repository.unsri.ac.id/9571/
PENGENALAN TULISAN ARAB MENGGUNAKAN UNITED MOMENT INVARIANT DAN MODIFIED QUADRATIC DISCRIMINANT FUNCTION,"Arabic handwriting has a unique number of letters that are almost similar but not
identical. The writing style of each person is different in writing Arabic letters so
that it becomes a distinguishing factor in the recognition of Arabic writing. The
recognition of Arabic handwriting in this study uses United Moment Invariant
(UMI) to extract features and Modified Quadratic Discriminant Function (MQDF)
as an recognition method. Training data were 560 data and 224 test data in the
form of PNG format images with a resolution of 30x30 pixels, the study resulted
in accuracy reaching 87.05% in learning rate 0.6 with a processing time of 14
minutes 28 seconds. At learning rate 0.4 the accuracy results reach 88.39% with a
processing time of 15 minutes 16 seconds.","Pengenalan, Huruf Arab, Tulisan Tangan Arab, United Moment
Invariant, Modified Quadratic Discriminat Function",2018-07-31,"['WIDYANINGRUM, INTAN', 'Samsuryadi, Samsuryadi', 'Primartha, Rifkie']",http://repository.unsri.ac.id/7313/
KLASIFIKASI KEMATANGAN BUAH KOPI ROBUSTA MENGGUNAKAN HYPER SAUSAGE NEURON NETWORK (HSNN),"Classification ripe of coffee beans on harvesting process is very important. This process is extremely influential on the quality of coffee beans. This study has developed software about classification ripe of Robusta coffee beans by using Myper Sausage Neuron Network (HSNN). Input image is digital photo of coffee beans with black and white background. First, image of coffee beans will be characterized extracted by using Fuzzy Color Histogram which is produce set of feature vectors that is used as input vector. After feature vectors have got and then training process with HSNN to get score which is used as knowledge. Results of classification by using HSNN with I 00 of pretest data and 50 data test reaches the accuracy about 96 %, meanwhile addition of pretest data become 150 and data test srill increase 4 %. This result show that selection of right method and addition of right method and addition of pretest data, it can increase the accuracy.","Processing Image Digital, Hyper Sausage Neuron Network, Fuzzy",2018-01-13,"['WIJAYA, ARY MARTHA', 'Samsuryadi, Samsuryadi', 'Yusliani, Novi']",http://repository.unsri.ac.id/7024/
KOMPARASI PENGAMBILAN KEPUTUSAN PADA SISTEM PENDUKUNG KEPUTUSAN DAN SISTEM PENDUKUNG KEPUTUSAN KELOMPOK MENGGUNAKAN METODE WEIGHTED PRODUCT (STUDI KASUS : MENENTUKAN SUMBER RASA NYERI PADA GIGI),"This study compared the results of the accuracy of decision-making between Decision Support System (DSS) with the Group Decision Support Systems (GDSS) using method weighted product. In this study, the giver decision consists of two doctors, each doctor will give each weight value each of which will be calculated in a decision support system using the method weighted product to determine an alternative option. while the Group Decision Support Systems will calculate the value of these two systems results decision support weights of both physicians using methods BORDA to generate alternative options. Tests carried out on 21 trial. The comparison showed that the error rate of the results of the decision support system from doctor number 1 is 14.2% and the eror rate of physician decision support system from doctor number 2 amounted to 23.8% difference in results depending on the weight value of each donor decision. While the group decision support system by 0.95%","Decision, Decision Support Systems, DSS, Systems Group Decision Support, GDSS, Weighted Product, BORDA, Pain On Tooth",2018-11-15,"['WIJAYA, INDAH RAHMADHONA', 'Efendi, Rusdi', 'Yusliani, Novi']",http://repository.unsri.ac.id/10033/
IMPLEMENTASI METODE NAIVE BAYES DALAM PENDETEKSIAN EMAIL SPAM & NON-SPAM,"The spam detection in email is a system that separates or groups messages in electronic mail. Nowadays research and application of this system is growing and becoming more popular. Email is still a powerful tool aimed at the exchange of ideas and information, the cheapest form of communication and able to reach millions of users with a short time. Each email has different message content from private to commercial messages. In this research, there are several processes performed to detect spam that is pre-processing with tokenizing & case folding, feature extraction using Chi Square method and conduct training and testing with Naive Bayes method. This study aims to measure and prove accuracy in detecting spam and non-spam emails using the Naive Bayes method.","Spam Detection, Machine Learning, Tokenizing, Case Folding, Email, Bayesian Classifier, Naive Bayes.",2018-07-31,"['WILLYAM, WINARTO', 'Fachrurrozi, Muhammad', 'Yusliani, Novi']",http://repository.unsri.ac.id/8636/
KOMBINASI METODE DEMPSTER SHAFER DAN DECISION TREE UNTUK DIAGNOSA PENYAKIT YANG DISEBABKAN OLEH BAKTERI SALMONELLA PADA MANUSIA,"Infection from salmonella bacteria can show the characteristics of more than one disease types, so it is necessary to meet the doctor to find out the disease accurately. But sometimes the patient does not see a doctor because of time or cost constraints. Dempster-shafer is a method used to combine symptoms chosen by the user where each symptom has a density probability value to calculate the probability of an illness. The percentage of diagnosis accuracy value from Dempster-Shafer is 88%,while the Decision Tree method show diagnosis accuracy with only 10%. However, when these two methods were combined, the percentage of disease diagnosis accuracy was 88%. So it can be concluded that the DempsterShafer method is suitable to be combined with the Decision Tree method.","Dempster-Shafer, Decision Tree, Expert System, Combination, Salmonella Diseases.",2018-11-10,"['YANSA, DENNY MARANTHA LA', 'Primartha, Rifkie', 'Arsalan, Osvari']",http://repository.unsri.ac.id/9540/
ANALISA PERBANDINGAN ALGORITMA MAXIMUM MARGINAL RELEVANCE DENGAN TEXTRANK DAN LEXRANK PADA KASUS PERINGKASAN TEKS OTOMATIS,"Automatic text summarizing is done with the aim of summarizing shorter texts without losing their meaning and content. In this study, a comparative analysis of the results of text summarizing is done using the Maximum Marginal Relevance algorithm with Textrank and Lexrank. The processes carried out in this research are Pre-Processing, TF-IDF Weighting, Application of MMR Algorithm with Textrank and Lexrank, and calculating the results of concise accuracy. In the pre-processing, input processing is case folding, tokenizing, and stemming. Then summarize using the MMR algorithm with Textrank and Lexrank, then evaluate the level of accuracy with manual testing using the parameters recall, precision, and f-measure. The data tested in the form of Indonesian text documents amounted to 10 texts. The results showed the MMR method had a recall accuracy level of 19%, precision 37%, and f-measure 25%; and the Textrank and Lexrank methods have 51% recall accuracy, 69% precision, and 59% f-measure.","Automatic summarization, Maximum Marginal Relevance, Textrank and Lexrank.",2019-07-31,"['A, M SHOLAHUDDIN', 'Fachrurrozi, Muhammad', 'Yusliani, Novi']",http://repository.unsri.ac.id/25934/
SISTEM PENDUKUNG KEPUTUSAN BERKELOMPOK DALAM MENENTUKAN MAHASISWA YANG AKAN KERJA PRAKTIK MENGGUNAKAN METODE MULTI OBJECTIVE OPTIMIZATION BY RATIO ANALYSIS (MOORA) DAN BORDA,"Dalam melakukan seleksi penerimaan mahasiswa yang akan melaksanakan kerja praktik, pembuat keputusan atau penyeleksi yang dimiliki oleh perusahaan lebih dari satu orang, serta kriteria yang dimiliki oleh penyeleksi pun berbeda. Penelitian ini dilakukan di PT. Bukit Asam. Dalam membantu seleksi mahasiswa yang akan melaksanakan kerja praktik maka dibutuhkan sebuah sistem pendukung keputusan berkelompok. Pada penelitian ini menggunakan metode Multi Objective Optimization by Ratio Analysis (MOORA) dan Borda. Dengan banyak data yaitu data yang terdiri dari 50 data mahasiswa dan memiliki 6 kriteria dari kedua pembuat keputusan. Metode MOORA akan memberikan hasil peringkat mahasiswa dari masing-masing pembuat keputusan dengan proses normalisasi dari nilai kriteria yang dimilikinya, setelah itu hasil perangkingan tersebut akan diranking secara keseluruhan oleh metode Borda yang akan menghasilkan mahasiswa terpilih. Metode Multi Objective Optimization by Ratio Analysis (MOORA) dan Borda dapat menghasilkan alternatif terbaik terhadap calon mahasiswa yang akan melakukan kerja praktik, dengan tingkat akurasi yaitu sebesar 88%, sehingga seleksi tersebut dapat berjalan secara tepat sesuai dengan yang diharapkan.  

Kata kunci: Sistem Pendukung Keputusan Berkelompok, Multi Objective Optimization by Ratio Analysis (MOORA) ,Borda, Kerja Praktik.",Sistem Pendukung Keputusan,2019-10-18,"['ABDUSALAM, RAFIF', 'Yunita, Yunita', 'Miraswan, Kanda Januar']",http://repository.unsri.ac.id/20157/
DETEKSI WAJAH MENGGUNAKAN METODE VIOLA JONES DENGAN SEGMENTASI WARNA KULIT PADA CITRA WAJAH,"Face detection is a step used to look for faces in an image. The face search process in this study uses the Viola-Jones method that detects a face on skin color segmentation images to improve Viola Jones's performance. Based on the results of testing with single-face image data, the recall value and precision are 94,11% and 99,83% and the accuracy of detection accuracy uses Intersection over Union of 0,6963 with a faster processing time of 6,14% than the Viola-Jones method.","deteksi wajah, viola jons",2019-07-31,"['AFIF, KEREL KHALIF', 'Fachrurrozi, M.', 'Oktadini, Nabila Rizky']",http://repository.unsri.ac.id/5962/
OPTIMASI FUNGSI KEANGGOTAAN FUZZY INFERENCE SYSTEM TSUKAMOTO DENGAN PARTICLE SWARM OPTIMIZATION UNTUK PREDIKSI CUACA DI PALEMBANG,"Fuzzy Inference System is one method that can be applied to predict the weather. However there is a problem that is often faced when implementing fuzzy logic, the problem is difficulty of determining the appropriate value limit of membership functions in a problem. Particle Swarm Optimization is one algorithm that is able to find optimal solutions because Particle Swarm Optimization focuses on solving optimization problems in the search for space to get solutions. So that the limits on the value of the membership function obtained can be an optimal solution. The result of weather prediction evaluation with Tsukamoto Fuzzy Inference System using the membership function obtained by Particle Swarm Optimization were able to improve the accuracy of weather prediction by 70,909% compared to using Tsukamoto Fuzzy Inference System with membership function of 50%.","Prediksi Cuaca, Fuzzy Inference System, Particle Swarm Optimization",2019-07-31,"['AFRILIA, AFRILIA', 'Rini, Dian Palupi', 'Miraswan, Kanda Januar']",http://repository.unsri.ac.id/5224/
ANALISA PERBANDINGAN ALGORITMA C4.5 DAN NAIVE BAYES DALAM MELAKUKAN KLASIFIKASI TEKS BERITA,"Classification is one of the data mining techniques used to predict group membership in data instances. Text classification is a branch of classification that classifies a set of documents into automatically assigned categories. C4.5 and Naive Bayes algorithms are two algorithms that are often compared in the classification tasks because both of them have high accuracy, but generally only with the implementation of numeric datasets. In this study the C4.5 and Naive Bayes algorithms use word weighting techniques and pre-processing to finally predict the classes, and then the performace can be compared to see if they still maintain good performance or not. The C4.5 algorithm has threshold, entropy, info, and gain values which has an important role in building a decision tree, and related to the prediction of each document, variations in the gain value, and the frequency of occurrences for each word in the dataset and the key to making tuples in decision tree. While in the Naïve Bayes Algorithm, predictions depend on the posterior value that can be obtained by multiplying all the word weights for each document and comparing them by the training set. Naive Bayes algorithm with a total of 500 training data text documents resulting a high accuracy on 97.4% and an efficient computing time of 98.45 seconds.","News classifications, Income Value, Posterior, C4.5 Algorithm, Naïve Bayes Algorithm",2019-08-23,"['AHMAD, FARIS HARUN', 'Sazaki, Yoppy', 'Saputra, Danny Matthew']",http://repository.unsri.ac.id/8594/
PENGUJIAN KUALITAS PUPUK UREA DENGAN ALGORITMA CHI-SQUARED AUTOMATIC INTERACTION DETECTION (CHAID),"PT. Pupuk Sriwidjaja (Pusri) Palembang has a Laboratory section in each of its factories that performs its duties manually to determine the quality of the fertilizers to be produced. This manual method is most likely at risk of human error and causes errors in the results of determining the quality of urea fertilizer. An expert system was built using the Chi-Squared Automatic Interaction Detection (CHAID) algorithm which can test the quality of urea fertilizer. The CHAID algorithm applies the decision tree technique where the technique will always branch off two or more as a basis in establishing rules. The system takes the values of the urea fertilizer test parameters as attributes. These attributes are processed to produce the most significant values that will be branches in the decision tree. The parameters used include Nitrogen, Biuret, Moisture, Free Ammonia, Iron, Oil Content, Crushing Strength, and Size Distribution. CHAID algorithm is suitable to be used to test the quality of urea fertilizer because in this study produced 4 different decision trees with an accuracy value of 99% using as much as 100 test data. This number influenced by the amount of training data used to build the rules.","Sistem Pakar, Pengujian Kualitas, Chi-Squared Automatic Interaction Detection (CHAID)",2019-12-26,"['AL GHIFRAN, AHMAD NAUVAN ZIKRI', 'Yunita, Yunita', 'Rodiah, Desty']",http://repository.unsri.ac.id/23165/
